area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Subsistence,Landings,Unreported,13.8029998566,20235.1977898438
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Artisanal,Landings,Reported,1483.9740000000,2175505.884
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Artisanal,Landings,Unreported,389.9891000000,571724.0206
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Recreational,Landings,Unreported,8.2167276628,12045.7227537117
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Miscellaneous aquatic invertebrates","Aquatic invertebrates","Other demersal invertebrates","Other fishes & inverts","USA",Subsistence,Landings,Unreported,0.4534453977,664.750952981139
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Marine groundfishes not identified","Groundfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","USA",Subsistence,Landings,Unreported,1.1079785640,1624.296574824
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Mollusca","Clams, seasnails, squids, octopuses","Cephalopods","Molluscs","USA",Subsistence,Landings,Unreported,16.5754641120,24299.630388192
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Chondrichtyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","USA",Subsistence,Landings,Unreported,0.0264487053,38.7738019537266
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Chondrichtyes","Sharks, rays, chimaeras","Large sharks (>=90 cm)","Sharks & rays","USA",Artisanal,Landings,Reported,7.6000000000,11141.6
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","USA",Subsistence,Landings,Unreported,2.9597570331,4339.00381045962
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Gastropoda","Sea snails","Other demersal invertebrates","Molluscs","USA",Subsistence,Landings,Unreported,0.6884682640,1009.294475024
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Echinoidea","Sea urchins, sea hedgehogs","Other demersal invertebrates","Other fishes & inverts","USA",Subsistence,Landings,Unreported,2.3250995260,3408.595905116
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Malacostraca","Lobsters, crabs, shrimps, krill","Shrimps","Crustaceans","USA",Subsistence,Landings,Unreported,0.0184475620,27.044125892
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","USA",Industrial,Landings,Reported,0.1000000000,146.6
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","USA",Subsistence,Landings,Unreported,3.0596606184,4485.46246659842
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Teuthida","Squids","Cephalopods","Other fishes & inverts","USA",Subsistence,Landings,Unreported,0.1182205216,173.311284726263
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Decapoda","Crabs, lobsters, shrimps","Lobsters, crabs","Crustaceans","USA",Subsistence,Landings,Unreported,27.1206448500,39758.8653501
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Rajidae","Stingrays","Large rays (>=90 cm)","Sharks & rays","USA",Subsistence,Landings,Unreported,0.7539726620,1105.32392245122
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Osmeridae","Smelts","Small pelagics (<30 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,13.0595888835,19145.357303172
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Gadidae","Cods, haddocks","Medium demersals (30 - 89 cm)","Cod-likes","USA",Subsistence,Landings,Unreported,1.3446017249,1971.18612875474
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Cottidae","Sculpins","Large reef assoc. fish (>=90 cm)","Scorpionfishes","USA",Subsistence,Landings,Unreported,0.5316718637,779.430952176954
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Scombridae","Mackerels, tunas, bonitos","Large pelagics (>=90 cm)","Perch-likes","USA",Subsistence,Landings,Unreported,0.0003810364,0.558599347106478
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Octopodidae","Octopuses","Cephalopods","Other fishes & inverts","USA",Subsistence,Landings,Unreported,7.5722782274,11100.959881357
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Lithodidae","Stone/king crabs","Lobsters, crabs","Crustaceans","USA",Subsistence,Landings,Unreported,15.1761796971,22248.2794359691
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Pandalidae","Northern shrimps","Shrimps","Crustaceans","USA",Industrial,Landings,Reported,979.0000000000,1435214
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Cardiidae","Cockles","Other demersal invertebrates","Molluscs","USA",Subsistence,Landings,Unreported,9.8908549395,14499.9933412836
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Veneridae","Venus clams","Other demersal invertebrates","Molluscs","USA",Subsistence,Landings,Unreported,10.0523431631,14736.7350770719
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Solenidae","Razor, knife clams","Other demersal invertebrates","Molluscs","USA",Subsistence,Landings,Unreported,8.8408410226,12960.6729391044
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Raja","Stingrays, skates","Small to medium rays (<90 cm)","Sharks & rays","USA",Artisanal,Landings,Reported,0.6390000000,936.774000000001
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","USA",Subsistence,Landings,Unreported,10.3767683248,15212.3423641565
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","USA",Artisanal,Landings,Reported,0.1000000000,146.6
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Sebastes","Redfishes","Large reef assoc. fish (>=90 cm)","Scorpionfishes","USA",Recreational,Landings,Unreported,10.0470955298,14729.0420466972
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus","Salmons, trouts","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,1.1212250892,1643.71598073014
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus","Salmons, trouts","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Recreational,Landings,Unreported,0.4742892334,695.308016172085
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Coregonus","Whitefishes","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,7.7697683539,11390.4804067808
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Chionoecetes","Tanner, snow crabs","Lobsters, crabs","Crustaceans","USA",Subsistence,Landings,Unreported,14.4748509248,21220.1314557369
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus mykiss","Rainbow trout","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,2.5326635897,3712.88482247537
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","USA",Industrial,Landings,Reported,18091.7068624381,26522442.2603342
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,47.4385023461,69544.8444394191
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","USA",Artisanal,Landings,Reported,20794.2931375620,30484433.7396658
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","USA",Recreational,Landings,Unreported,18.9356507593,27759.6640131532
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Industrial,Landings,Reported,13068.1247501648,19157870.8837415
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,587.9680199210,861961.117204182
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Artisanal,Landings,Reported,15020.2752498352,22019723.5162585
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Recreational,Landings,Unreported,2.6230552221,3845.39895559142
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","USA",Industrial,Landings,Reported,17431.0520317879,25553922.2786011
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,346.6859384599,508241.585782235
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","USA",Artisanal,Landings,Reported,20034.9479682121,29371233.7213989
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","USA",Recreational,Landings,Unreported,2.8147002327,4126.35054117792
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus tshawytscha","Chinook salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Industrial,Landings,Reported,2574.2275901319,3773817.6471334
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus tshawytscha","Chinook salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,849.0164934555,1244658.17940582
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus tshawytscha","Chinook salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Artisanal,Landings,Reported,2958.7724098681,4337560.3528666
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus tshawytscha","Chinook salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","USA",Recreational,Landings,Unreported,48.6300320702,71291.6270149676
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus kisutch","Coho salmon","Large demersals (>=90 cm)","Salmon, smelts, etc","USA",Industrial,Landings,Reported,4742.3385593663,6952268.32803098
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus kisutch","Coho salmon","Large demersals (>=90 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,176.9845614441,259459.367077096
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus kisutch","Coho salmon","Large demersals (>=90 cm)","Salmon, smelts, etc","USA",Artisanal,Landings,Reported,5450.7614406337,7990816.27196901
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus kisutch","Coho salmon","Large demersals (>=90 cm)","Salmon, smelts, etc","USA",Recreational,Landings,Unreported,40.2779273897,59047.4415532695
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Salvelinus alpinus alpinus","Arctic char","Medium benthopelagics (30 - 89 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,20.9587371291,30725.5086312375
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Mallotus villosus","Capelin","Small pelagics (<30 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,0.7230439708,1059.98246119012
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Thaleichthys pacificus","Eulachon","Small pelagics (<30 cm)","Salmon, smelts, etc","USA",Subsistence,Landings,Unreported,5.6569800593,8293.1327669744
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Thaleichthys pacificus","Eulachon","Small pelagics (<30 cm)","Salmon, smelts, etc","USA",Recreational,Landings,Unreported,1.8442699845,2703.69979732053
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,1,1950,"Gadus macrocephalus","Pacific cod","Large demersals (>=90 cm)","Cod-likes","USA",Subsistence,Landings,Unreported,9.8743496079,14475.7965252019
"USA (Alaska, Subarctic)",eez,Reconstructed domestic catch,3,1950,"Gadus macrocephalus","Pacific cod","Large demersals (>=90 cm)","Cod-likes","USA",Artisanal,Landings,Reported,389.3000000000,570713.8
