weight	day	ratID
151	8	1
145	8	2
147	8	3
155	8	4
135	8	5
159	8	6
141	8	7
159	8	8
177	8	9
134	8	10
160	8	11
143	8	12
154	8	13
171	8	14
163	8	15
160	8	16
142	8	17
156	8	18
157	8	19
152	8	20
154	8	21
139	8	22
146	8	23
157	8	24
132	8	25
160	8	26
169	8	27
157	8	28
137	8	29
153	8	30
199	15	1
199	15	2
214	15	3
200	15	4
188	15	5
210	15	6
189	15	7
201	15	8
236	15	9
182	15	10
208	15	11
188	15	12
200	15	13
221	15	14
216	15	15
207	15	16
187	15	17
203	15	18
212	15	19
203	15	20
205	15	21
190	15	22
191	15	23
211	15	24
185	15	25
207	15	26
216	15	27
205	15	28
180	15	29
200	15	30
246	22	1
249	22	2
263	22	3
237	22	4
230	22	5
252	22	6
231	22	7
248	22	8
285	22	9
220	22	10
261	22	11
220	22	12
244	22	13
270	22	14
242	22	15
248	22	16
234	22	17
243	22	18
259	22	19
246	22	20
253	22	21
225	22	22
229	22	23
250	22	24
237	22	25
257	22	26
261	22	27
248	22	28
219	22	29
244	22	30
283	29	1
293	29	2
312	29	3
272	29	4
280	29	5
298	29	6
275	29	7
297	29	8
350	29	9
260	29	10
313	29	11
273	29	12
289	29	13
326	29	14
281	29	15
288	29	16
280	29	17
283	29	18
307	29	19
286	29	20
298	29	21
267	29	22
272	29	23
285	29	24
286	29	25
303	29	26
295	29	27
289	29	28
258	29	29
286	29	30
320	36	1
354	36	2
328	36	3
297	36	4
323	36	5
331	36	6
305	36	7
338	36	8
376	36	9
296	36	10
352	36	11
314	36	12
325	36	13
358	36	14
312	36	15
324	36	16
316	36	17
317	36	18
336	36	19
321	36	20
334	36	21
302	36	22
302	36	23
323	36	24
331	36	25
345	36	26
333	36	27
316	36	28
291	36	29
324	36	30
