ID,Food_Category,Product_Name,Brand,Price,Container_Size,Container_Size_unit,Serving_Size,Serving_Size_unit,Calories,Fat,Sodium,Carbohydrate,Sugars,Fiber,Protein
10027,Bakery,PRESIDENT'S CHOICE | Triple Chocolate Cake | 2023-01-19,local,21.29,710,g,118,g,510,31,270,52,37,3,6
10018,Meat,THE KEG | Prime Rib Beef Burger | 2023-02-16,international,22.99,1020,g,170,g,490,41,660,2,0,0,26
10012,Snaks,"ORVILLE |  Bowl, Buttery | 2023-02-18",local,5.99,136,g,82,g,430,26,670,41,1,7,6
10028,Bakery,NO NAME| Raised Chocolate Donuts 6 Pack | 2023-02-08,local,7.99,510,g,85,g,320,16,320,39,13,1,5
10004,Drinks,STARBUCKS | Frappuccino Vanilla Coffee Drink | 2023-01-07,international,3.99,405,mL,405,mL,290,4.5,150,53,46,0,9
10008,Snaks,CHEETOS | Crunchy Cheese Flavoured Snacks | 2023-02-18,international,6.49,390,g,50,g,280,18,440,30,1,1,3
10016,Meat,PRESIDENT'S CHOICE | Cheddar Smokies sausage | 2023-02-16,local,14.29,1000,g,100,g,260,20,770,6,2,0,15
10011,Snaks,PRINGLES | Mega Can BBQ Flavour Chips | 2023-01-11,international,3.99,202,g,50,g,260,15,240,29,2,1,2
10019,Meat,"HIGH LINER | Fish Sticks, Family Pack | 2023-02-12",international,10.99,700,g,150,g,250,12,410,20,1,0,14
10026,Bakery,FARMER'S MARKET | Butter Croissants Mini | 2023-02-17,local,4.99,336,g,56,g,230,12,230,28,5,2,4
10013,Snaks,NESTLE | KitKat Chunky Milk Chocolate Wafer Bar | 2023-02-03,international,1.79,45,g,45,g,230,12,35,29,22,1,3
10010,Snaks,PRESIDENT'S CHOICE | Everything Trail Mix Nuts | 2023-01-09,local,4.99,300,g,50,g,220,10,25,31,23,,3
10003,Drinks,"MONSTER ENERGY | Green Energy Drink, Can | 2023-02-04",local,3.99,473,mL,473,mL,210,,370,55,54,0,0
10006,Snaks,"M&M'S | Peanut Milk Chocolate Candies, Bowl Size | 2023-02-14",international,9.99,400,g,42,g,210,11,20,25,21,2,4
10015,Meat,NO NAME | Mild Sugar-Cured Bacon | 2023-01-16,local,7.49,500,g,50,g,200,19,430,2,0,0,4
10030,Bakery,"WONDER | Bread, Sliced White | 2023-01-18",international,3.99,675,g,75,g,200,2.5,320,38,3,2,7
10022,Dairy,"ACTIVIA | Yogurt With Probiotics, Cherry Flavour | 2023-01-08",local,3.99,650,g,175,g,160,5,70,22,18,0,7
10009,Snaks,CHRISTIE | Chips Ahoy! Rainbow Cookies | 2023-01-28,international,3.99,225,g,31,g,150,7,80,22,9,1,1
10014,Snaks,CHRISTIE | Oreo Snak Pak Cookies | 2023-01-25,international,3.99,180,g,30,g,140,5,140,22,12,1,1
10029,Bakery,SCHOOL SAFE | Muffin Bars Birthday Cake | 2023-01-30,international,3.99,296,g,37,g,140,6,60,20,11,,2
10001,Drinks,COCA-COLA | Coca-Cola Bottle | 2023-01-28,international,3.99,2000,mL,355,mL,140,0,25,39,39,0,0
10020,Dairy,"NEILSON | True Taste, 2% Milk | 2023-01-23",local,5.69,2000,mL,250,mL,130,5,120,12,12,0,9
10007,Snaks,"GARDEN | Cream Wafers, Chocolate Flavour | 2023-02-19",local,2.39,200,g,25,g,130,7,45,16,6,0,2
10023,Dairy,NO NAME | Farmer's Marble Cheese | 2023-02-02,local,8.99,700,g,30,g,110,8,220,0,0,0,7
10002,Drinks,TROPICANA | Orange Juice No Pulp | 2023-02-22,local,6.99,1540,mL,250,mL,110,0,0,27,23,0,2
10017,Meat,GREENFIELD| Thick Sliced Smoked Ham | 2023-02-04,international,12.99,500,g,50,g,50,1,360,0,0,0,9
10005,Drinks,GRACE | 100% Pure Coconut Water | 2023-02-11,local,3.39,1000,mL,250,mL,50,0,65,11,10,0,1
10021,Dairy,PHILADELPHIA | Original Cream Cheese Product | 2023-01-03,international,5.49,227,g,15,g,40,3.5,60,1,1,0,1
10025,Fruit,DOLE | No Sugar Added Fruit Salad With Cherries | 2023-01-18,international,4.29,540,mL,125,mL,40,0,0,9,6,2,1
10024,Fruit,SMUCKERS | No Sugar Added Orange Spread | 2023-02-12,international,5.99,310,mL,15,mL,20,0,1,5,5,0,0.1
